sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:source_concept,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
51,mm,240,,mm,0.15,APPROVED,EQUAL,Patrick Thoral,1690327735613,8588,millimeter,Unit,MAPS_TO,,Patrick Thoral,1690327735138,
0,None,1677,,None,0.22,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,Keep Unchecked. CDM expects MEASUREMENTS without unit to have unit_concept_id = NULL (instead of '0'),,0,
40,µg/ml,327,,µg/ml,0.00,APPROVED,EQUAL,Patrick Thoral,1690327699368,8859,microgram per milliliter,Unit,MAPS_TO,,Patrick Thoral,1690327698634,
319,dragee,315,,Dragee,0.29,APPROVED,EQUAL,Patrick Thoral,1690327796754,0,Unmapped,,MAPS_TO,,,0,
180,IE,406522,,IE,0.33,APPROVED,EQUAL,Patrick Thoral,1690326032668,8718,international unit,Unit,MAPS_TO,,Patrick Thoral,1690326031843,
45,drop,134697,,druppel,1.00,APPROVED,EQUAL,Patrick Thoral,1690326105893,9296,drop,Unit,MAPS_TO,,<auto>,1690325915499,
182,Capsule,262,,Capsule,0.13,APPROVED,EQUAL,Patrick Thoral,1690327802342,0,Unmapped,,MAPS_TO,,,0,
178,E,175,,E,0.00,APPROVED,EQUAL,Patrick Thoral,1690327864892,8510,unit,Unit,MAPS_TO,,Patrick Thoral,1690327864334,
254,cg,4,,cg,0.00,APPROVED,EQUAL,Patrick Thoral,1690327483759,9479,centigram,Unit,MAPS_TO,,Patrick Thoral,1690327483143,
287,cl,20,,cl,0.16,APPROVED,EQUAL,Patrick Thoral,1690327040124,9482,centiliter,Unit,MAPS_TO,,Patrick Thoral,1690327039447,
159,cell/µl,1,,cel/µl,0.14,APPROVED,EQUAL,Patrick Thoral,1690327259618,8784,cells per microliter,Unit,MAPS_TO,,Patrick Thoral,1690327258909,
181,10^6 IE,3699,,10^6 IE,0.03,APPROVED,EQUAL,Patrick Thoral,1690326385686,9689,Million unit,Unit,MAPS_TO,,Patrick Thoral,1690326384719,
289,dl,2,,dl,0.00,APPROVED,EQUAL,Patrick Thoral,1690327368904,9486,deciliter,Unit,MAPS_TO,,Patrick Thoral,1690327368217,
179,10^6 E,45,,10^6 E,0.02,APPROVED,EQUAL,Patrick Thoral,1690326891905,9689,Million unit,Unit,MAPS_TO,,Patrick Thoral,1690326891172,
259,pg,7,,pg,0.00,APPROVED,EQUAL,Patrick Thoral,1690327550638,8564,picogram,Unit,MAPS_TO,,Patrick Thoral,1690327550145,
191,No,41506,,Geen,0.18,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,Keep Unchecked. CDM expects MEASUREMENTS without unit to have unit_concept_id = NULL (instead of '0'),,0,
171,Number,18737,,Aantal,0.83,APPROVED,EQUAL,Patrick Thoral,1690327851011,0,Unmapped,,MAPS_TO,,,0,
290,hl,3,,hl,0.00,APPROVED,EQUAL,Patrick Thoral,1690327474714,9520,hectoliter,Unit,MAPS_TO,,Patrick Thoral,1690327473983,
258,ng,2,,ng,0.14,APPROVED,EQUAL,Patrick Thoral,1690327354906,9600,nanogram,Unit,MAPS_TO,,Patrick Thoral,1690327354210,
269,10^2,1,,10^2,0.01,APPROVED,EQUAL,Patrick Thoral,1690327239421,710257,hundred,Unit,MAPS_TO,,Patrick Thoral,1690327238617,
292,NL,1,,nl,0.00,APPROVED,EQUAL,Patrick Thoral,1690327208126,9606,nanoliter,Unit,MAPS_TO,,Patrick Thoral,1690327207294,
